                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2261,                 1.5299,                 1.4891,                 1.0183,                0.76087,                0.71235,                 0.7656,                0.52636,                0.75097,                0.73294,                0.78771,                0.59237,                0.97907,                0.92607,                 0.8427,                0.88118,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.1145,                 1.3543,                0.97643,                0.95951,                 0.7838,                0.73243,                0.80786,                0.55569,                 0.7861,                0.74543,                0.82269,                0.60956,                0.95711,                0.92888,                0.78646,                0.89045,              0.0065983,              0.0065983,              0.0065983
                      3,                 1.1338,                 1.3711,                0.97729,                0.97245,                0.76679,                 0.7221,                0.78902,                0.54199,                0.76396,                0.72784,                0.80341,                0.60243,                0.99348,                0.93697,                0.86777,                0.91169,              0.0097996,              0.0097996,              0.0097996
                      4,                 1.1443,                 1.3993,                0.99727,                0.98027,                0.76249,                0.73916,                0.79573,                0.54507,                 0.7704,                0.75273,                0.81103,                0.60552,                0.97193,                0.90538,                0.88467,                0.90985,               0.009703,               0.009703,               0.009703
                      5,                 1.1108,                 1.3372,                0.93302,                0.97221,                0.78917,                 0.7703,                0.82756,                0.57737,                0.78804,                0.77436,                0.83322,                0.58662,                0.90334,                0.84772,                0.76534,                 0.8911,               0.009604,               0.009604,               0.009604
                      6,                 1.0762,                 1.3048,                0.87609,                0.96272,                0.78433,                0.78761,                0.83309,                 0.5927,                0.78159,                0.78222,                0.83314,                0.61266,                0.89788,                0.83651,                0.74095,                0.88567,               0.009505,               0.009505,               0.009505
                      7,                 1.0557,                 1.2563,                0.84155,                0.95318,                0.81037,                0.78662,                 0.8536,                 0.6018,                0.80753,                0.78378,                0.85298,                0.63381,                0.88464,                0.80973,                0.73833,                0.88163,               0.009406,               0.009406,               0.009406
                      8,                 1.0353,                 1.2421,                0.80693,                0.94709,                0.80794,                0.79188,                 0.8532,                0.61042,                0.80873,                0.79893,                0.86028,                0.65107,                0.87688,                0.80226,                0.69298,                0.87919,               0.009307,               0.009307,               0.009307
                      9,                 1.0135,                 1.2181,                0.78535,                0.94522,                0.80927,                 0.7966,                0.85768,                 0.6229,                 0.7999,                 0.8017,                0.85616,                 0.6339,                0.85592,                 0.7825,                0.68272,                0.87002,               0.009208,               0.009208,               0.009208
                     10,                 1.0036,                 1.1961,                0.76851,                0.93614,                0.80537,                0.80797,                0.86062,                0.62283,                0.80277,                0.80496,                0.85757,                0.63269,                0.85266,                0.77338,                0.67057,                0.87167,               0.009109,               0.009109,               0.009109
                     11,                  0.989,                 1.1859,                0.74522,                0.93286,                0.81856,                0.80406,                0.87087,                0.63353,                0.81311,                0.79851,                0.86956,                0.65483,                0.83908,                0.76918,                 0.6692,                0.86751,                0.00901,                0.00901,                0.00901
                     12,                0.98112,                 1.1691,                0.73173,                 0.9295,                0.80887,                0.81745,                0.87246,                0.63912,                0.80222,                0.81108,                0.86652,                0.63434,                0.82455,                0.76999,                0.64269,                0.86435,               0.008911,               0.008911,               0.008911
                     13,                 0.9688,                 1.1571,                0.71698,                0.92726,                0.82358,                0.80361,                0.86659,                0.63932,                0.82137,                0.80171,                0.86855,                0.64171,                0.82572,                  0.772,                0.63636,                0.86216,               0.008812,               0.008812,               0.008812
                     14,                0.95901,                 1.1399,                 0.7042,                0.92344,                0.83214,                0.81868,                0.87823,                0.64134,                0.82966,                0.81473,                 0.8745,                0.64557,                0.82095,                0.74932,                0.62661,                0.86129,               0.008713,               0.008713,               0.008713
                     15,                0.95168,                 1.1322,                0.68902,                0.92045,                0.82555,                0.82897,                 0.8802,                0.64981,                0.82452,                0.81648,                0.87567,                0.65851,                  0.821,                0.74091,                0.62473,                0.85823,               0.008614,               0.008614,               0.008614
                     16,                0.94354,                 1.1181,                0.68113,                0.91995,                0.81432,                0.82512,                0.87758,                0.64845,                0.81392,                0.80555,                0.86829,                0.65268,                 0.8152,                0.72726,                0.62078,                0.86207,               0.008515,               0.008515,               0.008515
                     17,                 0.9388,                 1.1128,                0.67163,                0.91671,                0.81533,                0.82597,                0.88493,                0.65317,                 0.8081,                0.81551,                0.87695,                0.66191,                0.80552,                0.72168,                0.61039,                0.85633,               0.008416,               0.008416,               0.008416
                     18,                0.93549,                 1.1055,                0.66955,                0.91666,                0.82851,                0.82824,                0.88748,                0.65758,                0.82229,                0.82219,                0.88238,                0.66748,                0.79858,                0.71728,                0.60371,                0.85904,               0.008317,               0.008317,               0.008317
                     19,                0.92638,                 1.0991,                0.65774,                0.91361,                0.83205,                0.81361,                0.88336,                0.65229,                0.81216,                0.81228,                0.87667,                0.65571,                 0.8066,                0.73241,                0.60476,                0.85643,               0.008218,               0.008218,               0.008218
                     20,                0.92033,                 1.0868,                0.64683,                0.91033,                0.83724,                0.82262,                0.88831,                0.65682,                0.82672,                 0.8176,                0.88156,                0.65759,                0.79775,                 0.7368,                0.60107,                0.85389,               0.008119,               0.008119,               0.008119
                     21,                0.91642,                 1.0794,                0.64267,                0.91038,                0.83261,                 0.8294,                0.88989,                0.66307,                0.82312,                0.82391,                0.88334,                0.66014,                0.79138,                0.73003,                0.59067,                0.85147,                0.00802,                0.00802,                0.00802
                     22,                0.91462,                 1.0745,                0.63615,                 0.9066,                0.83169,                0.84017,                0.89269,                0.66838,                0.81941,                0.83352,                0.88465,                0.66253,                0.78249,                0.72364,                0.58248,                0.84931,               0.007921,               0.007921,               0.007921
                     23,                0.90357,                   1.07,                0.62406,                0.90553,                0.83153,                0.83246,                  0.892,                0.66381,                 0.8249,                 0.8285,                0.88877,                0.67687,                0.79064,                0.69794,                0.58641,                0.85105,               0.007822,               0.007822,               0.007822
                     24,                0.89813,                 1.0559,                0.61774,                0.90375,                0.82662,                0.83828,                 0.8962,                0.66788,                0.82558,                0.82273,                0.88742,                0.66704,                0.78841,                0.70682,                0.57752,                0.84853,               0.007723,               0.007723,               0.007723
                     25,                0.89506,                 1.0555,                0.61343,                 0.9029,                0.84511,                0.81885,                0.89324,                0.67175,                 0.8315,                0.82043,                0.88847,                0.67868,                0.78482,                0.69354,                0.57976,                 0.8505,               0.007624,               0.007624,               0.007624
                     26,                 0.8938,                 1.0493,                0.60966,                0.90235,                0.83101,                 0.8372,                0.89765,                0.67347,                0.82326,                0.83378,                 0.8923,                0.67006,                0.77646,                0.70859,                0.57307,                0.85039,               0.007525,               0.007525,               0.007525
                     27,                0.89089,                  1.046,                0.60016,                0.90281,                0.83246,                 0.8484,                0.90134,                0.67711,                0.82334,                0.83595,                0.89215,                0.68013,                0.77802,                0.67987,                0.56605,                0.84592,               0.007426,               0.007426,               0.007426
                     28,                0.88277,                 1.0308,                0.59902,                0.89922,                0.84558,                0.84713,                0.90444,                0.68251,                0.83535,                0.84365,                0.89771,                0.68202,                0.77623,                0.69977,                0.55672,                0.84382,               0.007327,               0.007327,               0.007327
                     29,                0.88415,                 1.0373,                0.59579,                0.89834,                0.85421,                0.83219,                0.90029,                0.67554,                0.84162,                0.82641,                0.89125,                0.67186,                 0.7779,                0.69585,                0.56415,                0.84477,               0.007228,               0.007228,               0.007228
                     30,                0.87709,                  1.028,                0.58508,                0.89612,                0.85463,                0.82887,                0.90137,                0.67941,                0.84493,                0.81961,                0.89179,                0.67431,                0.76995,                0.68827,                0.56404,                0.84345,               0.007129,               0.007129,               0.007129
                     31,                0.87463,                  1.022,                0.58246,                0.89555,                0.84548,                0.84282,                0.90269,                0.68032,                0.83757,                0.83095,                0.89306,                0.67786,                0.77373,                0.69057,                0.55666,                0.84576,                0.00703,                0.00703,                0.00703
                     32,                0.86842,                 1.0168,                 0.5771,                0.89224,                0.85319,                0.83082,                0.90356,                0.68247,                 0.8469,                0.81991,                0.89377,                0.67835,                0.76693,                0.69828,                0.55519,                0.83894,               0.006931,               0.006931,               0.006931
                     33,                0.86292,                 1.0054,                0.57115,                0.89373,                0.83625,                0.84449,                 0.9034,                0.68319,                0.82823,                0.83515,                0.89378,                0.67729,                0.76714,                0.69603,                0.55765,                0.84437,               0.006832,               0.006832,               0.006832
                     34,                0.86309,                 1.0072,                0.56914,                0.89251,                0.84404,                0.84677,                0.90364,                0.68272,                0.83758,                0.83466,                 0.8944,                0.67924,                0.76674,                0.69827,                0.55582,                0.84319,               0.006733,               0.006733,               0.006733
                     35,                0.85902,                 1.0025,                0.56544,                0.89142,                0.84415,                0.85426,                0.90726,                0.68929,                0.83488,                0.84396,                0.89727,                0.67872,                0.76082,                 0.6797,                0.54517,                0.84064,               0.006634,               0.006634,               0.006634
                     36,                0.85735,                0.99798,                0.55657,                0.88951,                0.83148,                0.85294,                0.90268,                 0.6866,                0.82569,                0.84905,                0.89992,                0.68525,                0.76562,                0.68997,                0.55483,                0.84204,               0.006535,               0.006535,               0.006535
                     37,                0.85109,                0.99128,                0.55204,                0.88852,                0.84791,                0.83941,                 0.9057,                0.68839,                0.83702,                0.83052,                0.89551,                0.67598,                0.76188,                 0.6804,                 0.5438,                0.84089,               0.006436,               0.006436,               0.006436
                     38,                0.84588,                0.99105,                0.54887,                0.88612,                0.84389,                0.84918,                0.90632,                0.69005,                0.82914,                0.84796,                 0.8973,                0.68263,                0.76144,                0.67327,                0.54278,                0.84153,               0.006337,               0.006337,               0.006337
                     39,                0.84325,                0.98187,                0.54531,                0.88699,                0.84561,                0.85407,                0.90826,                0.68883,                0.83556,                0.84395,                0.89911,                0.68682,                0.76309,                0.68334,                0.54222,                 0.8427,               0.006238,               0.006238,               0.006238
                     40,                0.84105,                0.97305,                0.54161,                0.88684,                0.84848,                0.85343,                 0.9086,                 0.6909,                0.83577,                0.84063,                0.89692,                0.68327,                0.76152,                0.66833,                0.54202,                0.84047,               0.006139,               0.006139,               0.006139
                     41,                0.83762,                0.97301,                0.54024,                0.88438,                0.83633,                0.86244,                0.90709,                0.69103,                0.82328,                0.85361,                0.89722,                0.67928,                0.75829,                 0.6739,                0.53827,                0.83966,                0.00604,                0.00604,                0.00604
                     42,                0.83327,                0.96735,                0.53187,                0.88495,                0.83231,                0.86281,                0.90462,                0.68995,                0.82171,                 0.8557,                0.89441,                0.68196,                0.75416,                0.66969,                0.54179,                0.83892,               0.005941,               0.005941,               0.005941
