                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83705,                 1.5165,                0.20887,                 0.5348,                0.48956,                0.48964,                0.30164,                0.53857,                0.71671,                0.07189,              0.0033327,              0.0033327,              0.0033327
                      2,                0.83292,                0.63392,                0.11269,                0.69253,                0.62047,                0.62119,                0.37235,                0.54361,                0.62733,                0.07458,              0.0066001,              0.0066001,              0.0066001
                      3,                 1.0524,                 0.5174,                0.14467,                0.59371,                0.37168,                0.36879,                0.14415,                 1.0388,                0.48031,                 0.1426,              0.0098014,              0.0098014,              0.0098014
                      4,                 1.0756,                0.50531,                0.15405,                0.72119,                0.58233,                0.62018,                0.34914,                0.64099,                0.59987,                0.07952,               0.009703,               0.009703,               0.009703
                      5,                 1.0608,                0.50529,                0.14668,                0.76213,                0.59869,                0.63653,                0.36264,                 0.6334,                0.57874,                0.07969,               0.009604,               0.009604,               0.009604
                      6,                0.97197,                0.52973,                0.12992,                0.73365,                0.64867,                0.66663,                0.40952,                0.53647,                0.62378,                0.07452,               0.009505,               0.009505,               0.009505
                      7,                0.96565,                0.53124,                0.12741,                0.67039,                0.48825,                0.53113,                0.24312,                0.78745,                0.57605,                 0.0962,               0.009406,               0.009406,               0.009406
                      8,                0.96826,                0.52232,                0.12654,                0.75892,                0.59988,                0.65894,                0.37952,                0.58229,                0.61917,                 0.0728,               0.009307,               0.009307,               0.009307
                      9,                0.92202,                0.53532,                0.11921,                0.76721,                0.63335,                0.69238,                0.40437,                0.56469,                0.59331,                0.07963,               0.009208,               0.009208,               0.009208
                     10,                0.92425,                 0.5288,                0.11893,                0.75835,                0.62775,                0.66358,                0.36976,                0.64125,                0.53629,                0.08087,               0.009109,               0.009109,               0.009109
