                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2172,                 1.4751,                 1.0796,                0.77166,                0.72081,                0.78118,                0.54378,                0.94984,                0.76177,                0.92363,              0.0033285,              0.0033285,              0.0033285
                      2,                 1.0847,                0.91516,                 1.0032,                0.77515,                0.72173,                0.79218,                0.54927,                 0.9327,                 0.7922,                0.91954,              0.0065959,              0.0065959,              0.0065959
                      3,                 1.1144,                0.92769,                 1.0152,                0.74999,                  0.696,                0.76399,                0.51649,                 0.9839,                0.87383,                0.94519,              0.0097973,              0.0097973,              0.0097973
                      4,                 1.1332,                0.93511,                 1.0287,                 0.7795,                0.71288,                0.77977,                0.54408,                0.95282,                0.80959,                0.93832,               0.009703,               0.009703,               0.009703
                      5,                 1.0998,                0.88479,                 1.0166,                0.77814,                 0.7338,                0.80148,                0.56147,                0.93286,                0.79534,                0.92875,               0.009604,               0.009604,               0.009604
                      6,                 1.0642,                0.82928,                 1.0077,                0.80352,                0.75798,                0.82624,                0.58431,                0.90871,                0.71976,                 0.9193,               0.009505,               0.009505,               0.009505
                      7,                 1.0378,                0.78661,                0.99585,                 0.8129,                0.77364,                0.84101,                0.59445,                0.90521,                0.68595,                0.92362,               0.009406,               0.009406,               0.009406
                      8,                 1.0188,                0.76008,                0.98743,                0.79971,                0.79198,                0.83651,                0.59512,                0.86553,                0.68094,                0.90433,               0.009307,               0.009307,               0.009307
                      9,                 1.0034,                0.74188,                0.97972,                0.81427,                0.77474,                0.84333,                0.60898,                0.86024,                0.66475,                0.90491,               0.009208,               0.009208,               0.009208
                     10,                 0.9876,                0.71735,                0.97082,                0.82133,                0.77352,                0.85135,                0.61648,                 0.8584,                0.64144,                0.89728,               0.009109,               0.009109,               0.009109
                     11,                 0.9749,                0.69938,                0.96742,                0.82115,                0.79914,                0.85959,                0.62265,                0.83787,                0.62677,                0.89328,                0.00901,                0.00901,                0.00901
                     12,                0.96271,                0.68692,                0.96378,                0.82556,                0.79643,                0.86195,                 0.6226,                0.84056,                0.62574,                  0.892,               0.008911,               0.008911,               0.008911
                     13,                 0.9547,                0.67033,                 0.9638,                0.82086,                0.80648,                0.87251,                0.63734,                 0.8276,                0.60425,                 0.8869,               0.008812,               0.008812,               0.008812
                     14,                0.94213,                0.66271,                0.95576,                0.83101,                0.80117,                0.86262,                0.62882,                0.83156,                0.62143,                0.88787,               0.008713,               0.008713,               0.008713
                     15,                0.93716,                0.65124,                0.95374,                0.83804,                 0.8098,                0.87454,                0.63748,                0.83204,                0.59603,                0.88819,               0.008614,               0.008614,               0.008614
                     16,                0.92661,                0.63914,                0.94819,                  0.835,                0.80801,                0.87176,                0.63453,                 0.8292,                0.61213,                0.88379,               0.008515,               0.008515,               0.008515
                     17,                 0.9193,                0.63171,                0.94521,                0.82964,                0.82632,                0.88043,                0.64461,                0.81631,                0.60123,                0.88055,               0.008416,               0.008416,               0.008416
                     18,                0.91496,                0.62126,                0.94184,                0.83493,                0.81922,                0.88148,                0.63917,                0.83269,                0.60299,                0.88899,               0.008317,               0.008317,               0.008317
                     19,                0.90772,                0.61589,                0.94039,                0.83825,                0.82546,                0.88469,                0.65427,                0.80378,                0.57781,                0.87681,               0.008218,               0.008218,               0.008218
                     20,                0.90612,                0.60835,                0.94078,                0.85478,                0.80987,                0.88639,                0.65166,                0.81072,                0.57073,                0.88094,               0.008119,               0.008119,               0.008119
                     21,                0.90101,                0.60069,                0.93555,                0.83109,                0.82912,                0.88389,                0.64885,                0.81318,                0.58312,                0.87894,                0.00802,                0.00802,                0.00802
                     22,                0.89244,                0.59401,                0.93348,                0.83102,                0.82082,                 0.8781,                0.65335,                0.80648,                0.57913,                0.87752,               0.007921,               0.007921,               0.007921
                     23,                0.88897,                0.58939,                0.93153,                0.84084,                0.83597,                0.88678,                0.65789,                0.79634,                0.56733,                0.87449,               0.007822,               0.007822,               0.007822
                     24,                0.88727,                 0.5814,                0.92923,                0.85489,                 0.8252,                0.89231,                0.66046,                 0.7943,                0.56241,                0.87526,               0.007723,               0.007723,               0.007723
                     25,                0.88119,                0.57544,                0.92999,                 0.8308,                0.84105,                0.89143,                0.66008,                0.80016,                0.56701,                0.87447,               0.007624,               0.007624,               0.007624
                     26,                0.87427,                0.57086,                0.92666,                0.82964,                 0.8392,                0.89069,                0.65949,                0.79964,                0.57157,                0.87506,               0.007525,               0.007525,               0.007525
                     27,                0.87037,                0.56385,                0.92411,                0.84095,                0.83275,                 0.8947,                0.66652,                0.78638,                0.56537,                0.87272,               0.007426,               0.007426,               0.007426
                     28,                0.86734,                0.55897,                0.92272,                0.85485,                0.82565,                0.89322,                0.66354,                0.79293,                0.56706,                0.87098,               0.007327,               0.007327,               0.007327
                     29,                0.85965,                0.55248,                0.92049,                0.84668,                0.83376,                0.89265,                0.66752,                0.78194,                  0.548,                0.86716,               0.007228,               0.007228,               0.007228
                     30,                0.85488,                0.54502,                0.91972,                0.85157,                0.83581,                0.89299,                 0.6649,                0.78804,                0.55619,                0.86831,               0.007129,               0.007129,               0.007129
                     31,                 0.8583,                0.54826,                 0.9203,                0.84415,                0.83552,                0.89688,                0.67165,                0.77308,                0.54582,                0.86258,                0.00703,                0.00703,                0.00703
                     32,                 0.8501,                0.54049,                0.91737,                0.85097,                0.84069,                0.89816,                0.66857,                0.79095,                0.54617,                0.86757,               0.006931,               0.006931,               0.006931
                     33,                0.84695,                0.53615,                0.91364,                0.85415,                 0.8333,                0.89649,                0.67441,                0.77781,                0.54184,                 0.8639,               0.006832,               0.006832,               0.006832
                     34,                0.84467,                0.53461,                0.91601,                0.84775,                0.83687,                0.89939,                0.67428,                0.77673,                0.54887,                0.86191,               0.006733,               0.006733,               0.006733
                     35,                0.83828,                0.52515,                0.91475,                 0.8449,                0.84468,                0.90005,                0.67624,                0.77419,                0.53954,                0.86067,               0.006634,               0.006634,               0.006634
                     36,                0.83216,                0.51896,                0.91129,                0.83833,                0.84851,                0.89795,                0.67664,                0.77551,                0.54491,                0.86238,               0.006535,               0.006535,               0.006535
                     37,                0.83231,                0.52075,                0.90923,                0.85405,                 0.8443,                0.90177,                0.68037,                0.76747,                0.53493,                0.86312,               0.006436,               0.006436,               0.006436
                     38,                0.82825,                0.51596,                0.91053,                0.85747,                0.84652,                0.90232,                0.67579,                0.77759,                 0.5384,                0.86218,               0.006337,               0.006337,               0.006337
                     39,                0.82149,                0.50907,                0.90618,                0.86053,                0.83805,                0.89861,                0.67873,                0.76623,                0.53517,                0.86049,               0.006238,               0.006238,               0.006238
                     40,                0.82317,                0.50541,                0.90714,                0.84833,                0.84457,                0.90288,                0.68076,                0.77517,                0.53793,                0.86183,               0.006139,               0.006139,               0.006139
                     41,                0.82094,                 0.5072,                0.90554,                0.85864,                0.83857,                0.90098,                0.67982,                0.77317,                 0.5346,                0.86277,                0.00604,                0.00604,                0.00604
                     42,                0.81697,                0.49951,                0.90505,                 0.8517,                0.83818,                 0.8977,                0.67896,                0.77207,                0.53663,                0.86131,               0.005941,               0.005941,               0.005941
                     43,                0.81597,                0.50201,                 0.9048,                0.85525,                0.84245,                0.90147,                0.68094,                0.76853,                0.52892,                0.85993,               0.005842,               0.005842,               0.005842
                     44,                0.81021,                0.49386,                0.90285,                0.85239,                0.84826,                0.90305,                0.68383,                0.76703,                0.53172,                0.85792,               0.005743,               0.005743,               0.005743
                     45,                0.80396,                0.48971,                0.90092,                0.86299,                0.84176,                0.90494,                0.68552,                0.76485,                 0.5265,                0.85719,               0.005644,               0.005644,               0.005644
                     46,                0.80169,                0.48496,                0.89971,                0.86183,                0.83623,                0.90474,                0.68587,                0.76479,                0.53074,                0.85787,               0.005545,               0.005545,               0.005545
                     47,                0.79843,                0.48161,                0.89962,                0.86071,                0.84625,                0.90527,                0.68794,                0.76671,                0.52575,                0.85896,               0.005446,               0.005446,               0.005446
                     48,                0.79785,                 0.4814,                0.89914,                0.85736,                0.84604,                0.90173,                0.68432,                0.76363,                0.52759,                0.85711,               0.005347,               0.005347,               0.005347
                     49,                0.79769,                0.48008,                0.89865,                0.85246,                0.85317,                0.90333,                0.68684,                0.76184,                0.52917,                0.85696,               0.005248,               0.005248,               0.005248
                     50,                0.79053,                0.47241,                0.89605,                 0.8607,                0.84519,                0.90398,                0.68831,                0.75647,                0.52355,                0.85523,               0.005149,               0.005149,               0.005149
                     51,                0.79166,                0.47191,                0.89586,                0.85427,                0.85072,                0.90418,                0.68883,                0.75806,                 0.5258,                0.85488,                0.00505,                0.00505,                0.00505
                     52,                0.78452,                0.46471,                0.89472,                 0.8609,                0.84876,                0.90419,                0.68928,                0.75736,                0.52459,                0.85426,               0.004951,               0.004951,               0.004951
                     53,                0.78181,                0.46329,                0.89353,                  0.862,                0.85048,                0.90396,                0.69026,                0.75633,                0.52743,                0.85528,               0.004852,               0.004852,               0.004852
                     54,                0.77903,                0.45883,                0.89112,                0.86555,                 0.8457,                0.90466,                0.69027,                0.75393,                0.52696,                0.85533,               0.004753,               0.004753,               0.004753
                     55,                 0.7763,                0.45778,                0.89205,                0.86806,                 0.8438,                0.90475,                0.69062,                0.75155,                0.52664,                0.85435,               0.004654,               0.004654,               0.004654
                     56,                0.76998,                0.45509,                0.88965,                0.86267,                0.84703,                0.90441,                0.69021,                0.75279,                0.52733,                0.85512,               0.004555,               0.004555,               0.004555
                     57,                0.76687,                0.44911,                0.88964,                 0.8564,                0.85337,                 0.9041,                0.69115,                 0.7524,                0.52678,                 0.8533,               0.004456,               0.004456,               0.004456
                     58,                0.76554,                0.44812,                0.88761,                0.85003,                0.85619,                0.90572,                0.69079,                0.75344,                 0.5268,                0.85328,               0.004357,               0.004357,               0.004357
                     59,                0.76334,                0.44292,                0.88511,                0.85415,                0.85408,                0.90423,                0.69051,                0.75412,                0.52556,                0.85388,               0.004258,               0.004258,               0.004258
                     60,                 0.7634,                0.43898,                0.88624,                0.85335,                0.85407,                0.90428,                0.69016,                0.75377,                0.52661,                 0.8541,               0.004159,               0.004159,               0.004159
                     61,                0.75867,                0.43865,                 0.8863,                0.85208,                0.85716,                0.90413,                0.69034,                0.75285,                0.52571,                0.85355,                0.00406,                0.00406,                0.00406
                     62,                0.75354,                0.43137,                0.88442,                0.85392,                 0.8543,                0.90318,                0.69072,                0.75213,                0.52707,                0.85341,               0.003961,               0.003961,               0.003961
                     63,                0.74945,                0.43249,                0.88283,                0.85677,                0.85352,                0.90462,                0.69212,                0.74955,                0.52517,                0.85282,               0.003862,               0.003862,               0.003862
                     64,                0.74653,                0.42729,                0.88115,                0.85726,                0.85231,                0.90375,                0.69164,                0.75071,                0.52874,                0.85246,               0.003763,               0.003763,               0.003763
                     65,                0.74352,                0.42643,                0.88234,                0.84633,                0.86228,                0.90331,                0.69241,                0.74905,                0.52974,                0.85222,               0.003664,               0.003664,               0.003664
                     66,                0.73862,                0.42174,                0.87915,                0.84474,                0.86244,                0.90293,                0.69313,                0.74882,                0.52792,                0.85196,               0.003565,               0.003565,               0.003565
                     67,                0.74106,                0.42095,                 0.8803,                0.84619,                0.85979,                0.90267,                0.69237,                0.74946,                0.52837,                0.85198,               0.003466,               0.003466,               0.003466
                     68,                0.73436,                0.41667,                0.87937,                0.85239,                0.85799,                0.90329,                0.69258,                0.75062,                0.52725,                0.85207,               0.003367,               0.003367,               0.003367
                     69,                0.73189,                0.41465,                0.87861,                0.85292,                0.85664,                0.90369,                0.69332,                0.74896,                0.52825,                0.85174,               0.003268,               0.003268,               0.003268
                     70,                0.72737,                0.40996,                0.87589,                0.84794,                0.85767,                 0.9034,                0.69348,                0.74971,                0.53096,                0.85201,               0.003169,               0.003169,               0.003169
                     71,                0.72514,                0.40931,                0.87579,                 0.8525,                0.85367,                0.90309,                0.69271,                0.75092,                 0.5329,                0.85277,                0.00307,                0.00307,                0.00307
                     72,                0.72042,                0.40287,                0.87487,                0.84957,                0.85604,                0.90303,                0.69255,                0.75139,                0.53511,                0.85252,               0.002971,               0.002971,               0.002971
                     73,                0.71784,                0.40148,                0.87282,                0.84904,                 0.8576,                0.90163,                0.69206,                0.75093,                 0.5365,                0.85174,               0.002872,               0.002872,               0.002872
                     74,                0.71426,                0.39996,                0.87337,                0.85468,                0.85481,                0.90095,                0.69129,                  0.751,                0.53727,                0.85234,               0.002773,               0.002773,               0.002773
                     75,                0.71151,                0.39728,                 0.8744,                0.85382,                0.85484,                0.90099,                0.69103,                0.75096,                0.53831,                0.85307,               0.002674,               0.002674,               0.002674
                     76,                0.70547,                0.39143,                0.87063,                0.85202,                 0.8556,                0.89971,                 0.6906,                0.75114,                0.53958,                0.85326,               0.002575,               0.002575,               0.002575
                     77,                0.70395,                0.39025,                0.87033,                 0.8521,                0.85548,                 0.8998,                0.69124,                0.75067,                0.53827,                0.85349,               0.002476,               0.002476,               0.002476
                     78,                0.70117,                0.38799,                0.86753,                 0.8528,                0.85591,                0.90043,                0.69244,                0.74977,                0.53844,                0.85289,               0.002377,               0.002377,               0.002377
                     79,                0.69812,                0.38454,                0.86868,                0.85475,                0.85309,                0.90038,                 0.6929,                 0.7496,                0.53927,                0.85285,               0.002278,               0.002278,               0.002278
                     80,                0.69537,                0.38192,                0.86629,                0.85575,                0.85253,                0.90062,                0.69288,                 0.7497,                0.53938,                0.85287,               0.002179,               0.002179,               0.002179
                     81,                0.69172,                0.37759,                0.86515,                0.85491,                0.85375,                0.90111,                0.69343,                0.74958,                0.53908,                0.85264,                0.00208,                0.00208,                0.00208
                     82,                0.68657,                0.37518,                0.86573,                0.85225,                0.85609,                 0.9019,                0.69397,                0.74919,                0.53855,                 0.8523,               0.001981,               0.001981,               0.001981
                     83,                 0.6856,                0.37316,                0.86387,                0.85098,                 0.8588,                0.90194,                 0.6942,                0.74858,                0.53855,                0.85211,               0.001882,               0.001882,               0.001882
                     84,                 0.6813,                0.37058,                0.86423,                0.84909,                0.85941,                0.90171,                0.69466,                0.74852,                 0.5393,                0.85223,               0.001783,               0.001783,               0.001783
                     85,                0.67811,                0.36743,                0.86368,                 0.8482,                0.85877,                0.90119,                0.69441,                0.74843,                0.54024,                0.85187,               0.001684,               0.001684,               0.001684
                     86,                0.67501,                0.36333,                0.86145,                 0.8472,                 0.8599,                0.90116,                0.69429,                0.74861,                0.54158,                0.85186,               0.001585,               0.001585,               0.001585
                     87,                0.67361,                0.36158,                0.86274,                0.84688,                0.85977,                0.90093,                0.69446,                0.74838,                0.54216,                0.85162,               0.001486,               0.001486,               0.001486
                     88,                0.67106,                0.35997,                0.85985,                0.84716,                0.85886,                0.90064,                0.69391,                0.74837,                0.54261,                0.85169,               0.001387,               0.001387,               0.001387
                     89,                 0.6665,                0.35837,                0.86059,                0.85145,                0.85581,                0.90081,                0.69377,                0.74861,                0.54386,                0.85151,               0.001288,               0.001288,               0.001288
                     90,                 0.6602,                 0.3534,                0.85883,                0.85174,                0.85618,                0.90063,                0.69376,                 0.7488,                 0.5448,                0.85164,               0.001189,               0.001189,               0.001189
                     91,                0.66577,                0.33573,                0.86058,                0.85145,                 0.8557,                0.90022,                0.69368,                0.74825,                 0.5453,                0.85137,                0.00109,                0.00109,                0.00109
                     92,                0.65995,                0.33043,                0.85737,                0.85297,                0.85342,                 0.9004,                0.69389,                0.74818,                0.54607,                0.85162,               0.000991,               0.000991,               0.000991
                     93,                0.65448,                0.32556,                0.85802,                 0.8527,                0.85495,                0.90038,                0.69379,                0.74816,                0.54709,                0.85174,               0.000892,               0.000892,               0.000892
