                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2429,                 1.5027,                 1.0388,                0.76251,                0.73061,                0.78034,                 0.5428,                 0.9554,                 0.7609,                0.89759,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.0865,                0.89287,                0.95779,                0.75165,                0.72523,                0.78424,                0.54874,                0.94632,                0.84667,                0.90311,              0.0065932,              0.0065932,              0.0065932
                      3,                 1.1411,                0.95198,                0.98136,                0.76497,                0.71274,                 0.7773,                0.53331,                0.98402,                0.85468,                0.91528,              0.0097946,              0.0097946,              0.0097946
                      4,                 1.1346,                0.92637,                0.98633,                0.77558,                0.72019,                 0.7841,                0.53875,                0.97584,                0.82189,                 0.9142,               0.009703,               0.009703,               0.009703
                      5,                 1.0964,                0.86241,                0.97529,                0.78832,                0.75616,                 0.8138,                  0.582,                0.90117,                0.74177,                0.88674,               0.009604,               0.009604,               0.009604
                      6,                 1.0594,                 0.8059,                0.96071,                0.78932,                0.75199,                0.81811,                0.57676,                0.91685,                0.73212,                0.90234,               0.009505,               0.009505,               0.009505
                      7,                 1.0331,                0.77142,                0.95241,                0.80757,                0.75694,                0.83003,                0.59409,                0.88258,                0.68172,                0.88751,               0.009406,               0.009406,               0.009406
                      8,                 1.0128,                0.75155,                0.94764,                0.79681,                0.79348,                0.84892,                0.61236,                0.86112,                0.68887,                0.88173,               0.009307,               0.009307,               0.009307
                      9,                0.99614,                0.72485,                0.93942,                0.79813,                0.79978,                0.85659,                0.60805,                0.88165,                 0.6891,                0.88294,               0.009208,               0.009208,               0.009208
                     10,                0.97953,                0.70582,                0.93475,                0.83181,                0.80295,                0.87203,                0.63451,                0.85213,                 0.6338,                0.87297,               0.009109,               0.009109,               0.009109
                     11,                0.96776,                0.68603,                0.93156,                0.82725,                0.79163,                0.86655,                0.62871,                 0.8454,                0.65086,                0.87347,                0.00901,                0.00901,                0.00901
                     12,                0.96079,                0.67678,                0.92867,                0.81539,                0.79875,                0.86576,                0.63188,                 0.8291,                0.62252,                0.86598,               0.008911,               0.008911,               0.008911
                     13,                0.94692,                0.65852,                0.92479,                0.82058,                0.81131,                0.87001,                0.63591,                0.83323,                0.62585,                0.86875,               0.008812,               0.008812,               0.008812
                     14,                0.93774,                0.64626,                0.92115,                0.82469,                0.82212,                 0.8809,                0.64782,                0.82531,                0.60896,                0.86534,               0.008713,               0.008713,               0.008713
                     15,                0.93288,                0.63753,                0.92048,                0.83381,                0.81805,                0.87719,                0.64849,                0.81098,                0.59596,                0.86345,               0.008614,               0.008614,               0.008614
                     16,                0.92419,                0.62608,                0.91719,                0.82854,                0.81911,                0.87957,                 0.6487,                0.81453,                0.59648,                 0.8637,               0.008515,               0.008515,               0.008515
                     17,                0.91788,                0.62079,                0.91464,                0.83569,                0.81748,                0.88251,                0.64997,                0.81462,                0.59396,                0.86355,               0.008416,               0.008416,               0.008416
                     18,                0.90896,                0.60724,                0.91089,                0.83254,                0.83329,                 0.8891,                0.65132,                0.82296,                0.59456,                0.86219,               0.008317,               0.008317,               0.008317
