                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2706,                 1.5756,                 1.0648,                0.70806,                0.71139,                0.75441,                0.51799,                0.97805,                0.91645,                0.90775,              0.0033237,              0.0033237,              0.0033237
                      2,                 1.1204,                0.93182,                0.96901,                0.78673,                0.74186,                0.80731,                0.56329,                0.92741,                0.81472,                 0.8913,              0.0065912,              0.0065912,              0.0065912
                      3,                 1.1492,                0.93557,                0.98274,                0.72618,                0.69796,                0.75884,                0.50999,                0.99255,                 0.9395,                0.92391,              0.0097926,              0.0097926,              0.0097926
                      4,                 1.1797,                0.97252,                 1.0011,                 0.7432,                0.68579,                0.75457,                0.51621,                0.99363,                0.99606,                0.93081,               0.009703,               0.009703,               0.009703
                      5,                 1.1294,                0.89199,                0.98517,                0.77629,                0.71901,                0.79568,                0.55714,                0.94204,                0.77616,                0.91217,               0.009604,               0.009604,               0.009604
                      6,                 1.0917,                0.84364,                0.97369,                0.78199,                0.73966,                0.81101,                0.56677,                0.92892,                0.79582,                0.90233,               0.009505,               0.009505,               0.009505
                      7,                 1.0658,                0.80265,                0.96356,                0.79261,                0.76351,                0.82213,                0.57561,                0.94029,                0.75759,                0.90861,               0.009406,               0.009406,               0.009406
                      8,                 1.0505,                0.78084,                0.96213,                0.79576,                 0.7666,                0.82807,                0.58647,                0.90958,                0.72687,                0.89163,               0.009307,               0.009307,               0.009307
                      9,                 1.0291,                0.75273,                0.95125,                    0.8,                0.77421,                0.83329,                0.58966,                0.90139,                0.70838,                0.89414,               0.009208,               0.009208,               0.009208
                     10,                 1.0163,                0.73445,                0.94807,                0.81651,                0.79361,                0.85551,                0.62039,                0.85923,                0.64819,                0.87789,               0.009109,               0.009109,               0.009109
                     11,                0.99605,                0.70756,                0.93931,                0.81192,                0.79046,                 0.8542,                0.60913,                0.87118,                0.67258,                0.88054,                0.00901,                0.00901,                0.00901
                     12,                0.98814,                0.69725,                0.93744,                0.81517,                 0.7946,                0.86565,                 0.6228,                0.84602,                0.65919,                0.87225,               0.008911,               0.008911,               0.008911
                     13,                0.97438,                 0.6835,                0.93622,                0.82451,                0.80484,                0.87002,                0.62895,                0.85197,                0.63188,                0.87668,               0.008812,               0.008812,               0.008812
                     14,                0.96428,                0.67214,                0.93073,                0.83324,                0.82548,                0.87987,                0.64195,                0.83139,                0.60487,                0.86637,               0.008713,               0.008713,               0.008713
                     15,                0.95723,                0.65983,                0.92918,                0.82367,                0.80611,                0.86863,                0.63757,                0.82571,                0.61876,                0.86577,               0.008614,               0.008614,               0.008614
                     16,                0.94927,                0.64857,                0.92584,                0.83691,                0.81912,                0.88345,                0.64343,                0.82508,                0.60915,                0.86657,               0.008515,               0.008515,               0.008515
                     17,                0.94144,                 0.6379,                 0.9224,                0.83205,                0.82087,                0.87885,                0.64661,                0.81692,                0.59181,                0.86215,               0.008416,               0.008416,               0.008416
                     18,                0.93517,                0.62677,                 0.9206,                0.85238,                0.81216,                0.88862,                0.65331,                0.80276,                 0.5907,                0.85924,               0.008317,               0.008317,               0.008317
