                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1923,                 1.4697,                  1.385,                 1.0234,                0.73929,                0.75394,                0.78379,                0.52792,                0.74879,                0.76364,                 0.8065,                0.60212,                 1.0273,                0.89689,                0.88208,                0.92273,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.1119,                 1.3445,                0.93541,                0.97527,                0.74263,                0.70707,                 0.7652,                0.52073,                0.74085,                  0.721,                0.78399,                0.58161,                0.95704,                0.90197,                0.86417,                0.89925,              0.0065971,              0.0065971,              0.0065971
                      3,                 1.1637,                 1.4144,                0.98524,                0.99815,                0.76593,                0.71192,                0.77357,                0.53548,                0.75644,                0.71787,                0.78475,                0.55605,                0.97612,                 1.0343,                0.84011,                0.92783,              0.0097985,              0.0097985,              0.0097985
                      4,                 1.1783,                 1.4463,                 1.0091,                 1.0171,                0.76703,                0.74012,                0.79099,                0.55438,                0.76373,                0.73824,                0.79686,                0.58698,                0.95376,                0.95597,                0.79204,                0.92686,               0.009703,               0.009703,               0.009703
                      5,                 1.1205,                 1.3661,                0.92558,                0.99907,                0.79286,                0.75884,                0.82824,                0.58605,                0.79465,                 0.7699,                0.83937,                0.61648,                0.90318,                0.86856,                0.75345,                0.90243,               0.009604,               0.009604,               0.009604
                      6,                 1.0742,                 1.3127,                0.85892,                0.98456,                0.79821,                0.75683,                0.83143,                0.58612,                0.79069,                0.76386,                0.83778,                0.60817,                0.89765,                0.88415,                0.72633,                0.90005,               0.009505,               0.009505,               0.009505
                      7,                 1.0494,                  1.271,                0.81682,                0.97483,                 0.8013,                0.78534,                0.84467,                0.60629,                0.79801,                0.79317,                0.85549,                0.64393,                0.87598,                0.82245,                0.70426,                0.89027,               0.009406,               0.009406,               0.009406
                      8,                 1.0275,                 1.2429,                0.78765,                0.96662,                0.80241,                0.78988,                0.84406,                 0.6028,                0.80625,                0.79947,                0.85776,                 0.6554,                0.87205,                0.80975,                0.72434,                0.89216,               0.009307,               0.009307,               0.009307
                      9,                 1.0094,                 1.2213,                  0.761,                0.95708,                0.80178,                0.79497,                0.85627,                0.61525,                0.79638,                0.80291,                0.86269,                0.65306,                0.85141,                0.79094,                0.68345,                0.88328,               0.009208,               0.009208,               0.009208
                     10,                0.99052,                 1.1877,                0.73318,                0.95229,                0.81002,                0.79118,                0.85315,                0.62212,                0.81171,                0.79738,                0.86121,                0.64565,                0.84215,                0.77786,                0.66948,                0.87898,               0.009109,               0.009109,               0.009109
